table_type,table_name
BASE TABLE,ServiceDocuments_invoice
BASE TABLE,ServiceDocuments_parts
BASE TABLE,ServiceForm
BASE TABLE,ServiceForm1
BASE TABLE,ServiceInfoDefinitions
BASE TABLE,SetItems
BASE TABLE,Settings
BASE TABLE,SettingsControl
BASE TABLE,SettingsProfile
BASE TABLE,SharedReleaseVersion
BASE TABLE,Shifts
BASE TABLE,ShvaTbls
BASE TABLE,SingleValueLock
BASE TABLE,SizeMatrixExternalProgram
BASE TABLE,SolutionFixes
BASE TABLE,Spares
BASE TABLE,SpecialTasksBonus
BASE TABLE,StandartsFile
BASE TABLE,StatisSHVAfile
BASE TABLE,Status
BASE TABLE,StatusClass
BASE TABLE,StatusState
BASE TABLE,StockMovement
BASE TABLE,StockMovementCode
BASE TABLE,StockMovementFile
BASE TABLE,StockMovementTmp
BASE TABLE,StoresByChain
BASE TABLE,StoresInCampaign
BASE TABLE,Streets
BASE TABLE,SubscribersType
BASE TABLE,SuppliersProfitMultiplier
BASE TABLE,SupplyModelTbl
BASE TABLE,SupplyModel_tmp
BASE TABLE,SystemAgent_tmp
BASE TABLE,TaxAuthorityDefinitions
BASE TABLE,TblTbls
BASE TABLE,TechSupportLog
BASE TABLE,TempGeneralMenus
BASE TABLE,TerminalsAndReceiptVouchers
BASE TABLE,TimeQuery_tmp
BASE TABLE,Topics
BASE TABLE,Topics1
BASE TABLE,ToppingsItem
BASE TABLE,Track
BASE TABLE,Track2CreditCards
BASE TABLE,TracksCustomerIDInDocRows
BASE TABLE,TradeInVouchers
BASE TABLE,Trans
BASE TABLE,TransLog_tmp
BASE TABLE,UnitSizesDetails
BASE TABLE,UserPermisson
BASE TABLE,VeriCardActionsLog
BASE TABLE,VeriCardClubs
BASE TABLE,VeriCardTbls
BASE TABLE,ViewFile
BASE TABLE,Visit_tmp
BASE TABLE,VouchersIdentifyMechanism
BASE TABLE,WSLog
BASE TABLE,WayBillDestinations
BASE TABLE,WayBillHeader
BASE TABLE,WayBillLines
BASE TABLE,WayBillLines1
BASE TABLE,WayBillLines_NewLines
BASE TABLE,WayBillMenu
BASE TABLE,WayBillMenu1
BASE TABLE,WebServiceQueryLog
BASE TABLE,WeeklyWorkPlan
BASE TABLE,WorkSchedule
BASE TABLE,WorkstationType
BASE TABLE,Workstations
BASE TABLE,tmpCardsForFatherClient
BASE TABLE,tmpInvoiceItemIDOptics
BASE TABLE,tmpSelectOptician
VIEW,View_Campaign_Fld1
VIEW,View_Campaign_Fld2
VIEW,View_Campaign_Fld3
VIEW,View_Campaign_Fld4
VIEW,View_Campaign_Fld5
VIEW,vw_sales_with_shifts
